AGE,Range,ID,Cliente,Estado,opco_lico,Helpdesk,Titulo,categoria1,categoria2,categoria3,categoria4,categoria5,categoria6,Fecha de Creación,esta_com_a_v30
32,>30 y <=45,3721042,LEC.MSU Mall del Sur,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,MSU - KVS CDP - NO ENCIENDE,RESTAURANT,SOFTWARE,MONITOR KVS/ COCINA,NO CATEGORIZADO,,,2023-03-28 00:00:00,
35,>30 y <=45,3713924,LEC.MSU Mall del Sur,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,MSU - POS 33 - POS SE COLOCA OFF LINE,RESTAURANT,SOFTWARE,NEWPOS,OFFLINE CON LA WAYSTATION,,,2023-03-25 00:00:00,
58,>45 y <=60,3651298,LEC.SMR Samborondon,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,SMR- NO BORRA PEDIDOS  BUMPBAR CORREDOR,RESTAURANT,HARDWARE,Bumpbar,NO BORRA PEDIDOS DE AUTOMAC,,,2023-03-02 00:00:00,
59,>45 y <=60,3649404,LEC.CMB Cumbaya,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,"CMB - EQUIPO DAÑADO, IMPRESORA DAÑADA",RESTAURANT,HARDWARE,IMPRESORA FISCAL/TIQUETES,EQUIPO DAÑADO,,,2023-03-01 00:00:00,
48,>45 y <=60,3677610,LEC.PDA Plaza de las Americas,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,PDA - IMPRESORA PICKLIST MCCAFÉ ATASCADA,RESTAURANT,HARDWARE,IMPRESORA PICKLIST/COCINA,MAL FUNCIONAMIENTO,,,2023-03-12 00:00:00,
53,>45 y <=60,3663998,LEC.PDA Plaza de las Americas,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,PDA - PANTALLA OAT DE MOSTRATOR PRESENTA COLORACIÓN MAGENTA,RESTAURANT,HARDWARE,MONITOR OAT/EXPEDITOR,CABLES DAÑADOS - FALTANTES,,,2023-03-07 00:00:00,
51,>45 y <=60,3670696,LEC.SUR Sur,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,SUR - MOUSE PC GERENCIA - NO FUNCIONA,RESTAURANT,HARDWARE,MOUSE PC,EQUIPO DAÑADO,,,2023-03-09 00:00:00,
48,>45 y <=60,3676159,LEC.MSU Mall del Sur,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,MSU -  PINPAD MEDIANET NO ENCIENDE - POS 1,RESTAURANT,HARDWARE,PINPAD,NO ENCIENDE,,,2023-03-12 00:00:00,
50,>45 y <=60,3672728,LEC.MAL Malecon,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,MAL - BUMPBAR MOSTRADOR NO BORRA ORDENES. MAL-MALECON,RESTAURANT,SOFTWARE,Bumpbar,NO BORRA PEDIDOS DE SERVICIO,,,2023-03-10 00:00:00,
50,>45 y <=60,3672766,LEC.GYA AEREOPUERTO,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,"GYA - POS31 - NO SE HACE EL COBRO DEL PINPAN, NO SE TRANSMITE A LA POS EN COBRO",RESTAURANT,SOFTWARE,PINPAD,NO PROCESA COBRO,,,2023-03-10 00:00:00,
25,>15 y <=30,3739775,LEC.SUR Sur,EM ESPERA,OPCO,REST-BIOMETRIKA,NO CARGAN HORARIOS,RESTAURANT,SOFTWARE,Schedule,HORARIOS,NO CATEGORIZADO,,2023-04-04 00:00:00,
29,>15 y <=30,3729210,PCI PRINCESA ISABEL 2 - LICO - N1S,ABERTO,LICO,REST-BRA-ABM_Aplicaciones_Corp,EXCLUSÃO DE CELULAR CADASTRADO PARA ACESSO A CONTA DO MICROSOFT DO FRANQUEADO MARCO ANTÔNIO BRAGA CORREIA.,RESTAURANTE BRASIL,ACESSO,FLEX TILES,SENHA,,,2023-03-31 00:00:00,MR4 2.4
29,>15 y <=30,3728492,BPA BOM PASTOR - OPCO - N - A,EM ESPERA,OPCO,REST-BRA-ABM_Aplicaciones_Corp,RESET RESENHA,RESTAURANTE BRASIL,ACESSO,OUTLOOK,SENHA,,,2023-03-31 00:00:00,MR4.2.5 
29,>15 y <=30,3729543,SCF SHOPPING PLAZA CASA FORTE - OPCO - S - M,EM ESPERA,OPCO,REST-BRA-ABM_Aplicaciones_Corp,RESET DE SENHA,RESTAURANTE BRASIL,ACESSO,OUTLOOK,SENHA,,,2023-03-31 00:00:00,MR4.2.5 
29,>15 y <=30,3729983,CFR CARREFOUR RECIFE - OPCO - S - B,EM ESPERA,OPCO,REST-BRA-ABM_Aplicaciones_Corp,ACESSO AO EMAIL,RESTAURANTE BRASIL,ACESSO,OUTLOOK,SENHA,,,2023-03-31 00:00:00,MR4.2.5 
26,>15 y <=30,3737204,CPO CLUBE PORTUGUES - OPCO - S - C,EM ESPERA,OPCO,REST-BRA-ABM_Aplicaciones_Corp,RESET DE SENHA EMAIL RESTAURANTE,RESTAURANTE BRASIL,ACESSO,OUTLOOK,SENHA,,,2023-04-03 00:00:00,MR4.2.5 
